Wendy's groceries sales report,,,,,,,Legacy Liquor Store,,,,,,,,,,,,,,,,,,,,
"Txn Date [1/7/2016] To [31/12/2016]Category[] To [ZZ], Subcategory[] To [ZZZZ]Vendor[] To [ZZZZZZ]Item #[] To [ZZZZZZZZZZZZZZZZZZZZ]Salesperson [] To [ZZZZZZ]Based on Sales Amount>=-99999Item Status =  Active, Discontinued, Dormant, Future""Qty Sold"" Includes ""Kit Sold"" QtySort by Category/Subcategory, then by Item Description
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On Hand,,Combo packs sold,,,,,Qty Sold,,Gross Sales,,Discounts,,Net Sales,,COGS,,TOTAL LOGS,,Gross profit,,Profit Margin,,,,
Subcategory : 5160 RED WINE- NZL,,172,,0,,,,,6,,181.30,,0.00,,181.30,,121.25,,32.33,,27.72,,15.29,,,,
Subcategory : 5165 RED WINE-PRT,,111,,0,,,,,11,,179.31,,0.00,,179.31,,119.09,,31.76,,28.46,,15.87,,,,
Subcategory : 5170 RED RHONE-FRA,,76,,0,,,,,8,,188.18,,0.00,,188.18,,127.81,,34.08,,26.29,,13.97,,,,
Subcategory : 5175 RED WINE- ZAF,,153,,0,,,,,15,,262.64,,0.00,,262.64,,170.36,,45.43,,46.85,,17.84,,,,
Subcategory : 5180 RED WINE-ESP,,446,,0,,,,,123,,2 083.97,,11.62,,2 072.35,,1 447.15,,385.88,,239.32,,11.55,,,,
Subcategory : 5190 RED-USA,,1 089,,0,,,,,94,,2 406.07,,1.74,,2 404.33,,1 684.73,,449.23,,270.37,,11.25,,,,
Subcategory : 5195 RED-BOL,,156,,0,,,,,5,,76.30,,0.00,,76.30,,52.24,,13.93,,10.13,,13.28,,,,
Subcategory : 5205 WHITE-ARG,,99,,0,,,,,45,,590.88,,1.73,,589.15,,420.60,,112.15,,56.40,,9.57,,,,
Subcategory : 5210 WHITE-AUS,,184,,0,,,,,58,,781.84,,1.28,,780.56,,530.20,,141.38,,108.98,,13.96,,,,
Subcategory : 5215 WHITE BORDEAUX-FRA,,13,,0,,,,,5,,91.95,,0.00,,91.95,,61.34,,16.36,,14.25,,15.5,,,,
Subcategory : 5220 WHITE BURGUNDY-FRA,,62,,0,,,,,8,,292.42,,0.00,,292.42,,224.99,,59.99,,7.44,,2.54,,,,
