Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
150,Продаётся солнечная и ухоженная трёхкомнатная квартира в Плявние,,3,75,9/12,104.,Pardod,"79,000",1053.333333,Ulbrokas,7,"Latvia, Riga,",Pļavnieki Ulbrokas 7,Pļavnieki,"Latvia, Riga, Pļavnieki Ulbrokas 7",2019
151,"Piedāvājam iegādāties plašu, saulainu 3-istabu dzivokli Alauksta",,3,115,3/5,Jaun.,Pardod,"189,900",1651.304348,Alauksta,9,"Latvia, Riga,",Grīziņkalns Alauksta 9,Grīziņkalns,"Latvia, Riga, Grīziņkalns Alauksta 9",2019
151,Pārdod mājīgu un modernu 3 istabu dzīvokli Āgenskalnā Dzīvokl,,3,115,6/6,Renov.,Pardod,"178,250",1550,Raņķa d.,9,"Latvia, Riga,",Āgenskalns Raņķa d. 9,Āgenskalns,"Latvia, Riga, Āgenskalns Raņķa d. 9",2019
151,Квартира с мебелью и качественной бытовой техникой (посудомоечна,,3,64,3/9,602.,Pardod,"65,500",1023.4375,Salnas,11,"Latvia, Riga,",Pļavnieki Salnas 11,Pļavnieki,"Latvia, Riga, Pļavnieki Salnas 11",2019
151,Tiek pārdots mājīgs un moderns 3 istabu dzīvoklis Āgenskalnā,,3,120,6/6,Renov.,Pardod,"179,400",1495,Raņķa d.,9,"Latvia, Riga,",Āgenskalns Raņķa d. 9,Āgenskalns,"Latvia, Riga, Āgenskalns Raņķa d. 9",2019
151,Sentimento projekts Āgenskalna ielā 24 Āgenskalna Priedes ir vē,,3,67,2/5,Jaun.,Pardod,"128,900",1923.880597,Āgenskalna,24,"Latvia, Riga,",Āgenskalns Āgenskalna 24,Āgenskalns,"Latvia, Riga, Āgenskalns Āgenskalna 24",2019
152,"Pieejams trīsistabu dzīvoklis Rīgā, Purvciemā. Dzīvoklis ir ar v",,3,66,1/9,602.,Pardod,"50,500",765.1515152,Varavīksnes g.,20,"Latvia, Riga,",Purvciems Varavīksnes g. 20,Purvciems,"Latvia, Riga, Purvciems Varavīksnes g. 20",2019
152,Владелец продает 3-х комнатную квартиру со всей необходимой мебе,,3,87,2/4,Jaun.,Pardod,"165,000",1896.551724,Slokas,111,"Latvia, Riga,",Imanta Slokas 111,Imanta,"Latvia, Riga, Imanta Slokas 111",2019
152,Īpašnieks bez starpniekiem pārdod jauku dzīvokli Zolitūdes sirdī,,3,73,8/10,119.,Pardod,"64,500",883.5616438,Bieziņa,9,"Latvia, Riga,",Zolitūde Bieziņa 9,Zolitūde,"Latvia, Riga, Zolitūde Bieziņa 9",2019
152,Vai Jums ir vajadzīgs labs 3-istabu dzīvoklis? + Dzīvokļa ko,,3,60,1/2,P. kara,Pardod,"33,000",550,Laboratorijas,1,"Latvia, Riga,",Grīziņkalns Laboratorijas 1,Grīziņkalns,"Latvia, Riga, Grīziņkalns Laboratorijas 1",2019
